app_name,datetime,value
de_corona_warn_app,2020-07-21,10
de_corona_warn_app,2020-07-22,26
de_corona_warn_app,2020-07-23,39
de_corona_warn_app,2020-07-24,37
de_corona_warn_app,2020-07-25,66
de_corona_warn_app,2020-07-26,39
de_corona_warn_app,2020-07-27,26
de_corona_warn_app,2020-07-28,13
de_corona_warn_app,2020-07-29,18
de_corona_warn_app,2020-07-30,18
de_corona_warn_app,2020-07-31,18
de_corona_warn_app,2020-08-01,5
de_corona_warn_app,2020-08-02,9
de_corona_warn_app,2020-08-03,10
de_corona_warn_app,2020-08-04,15
de_corona_warn_app,2020-08-05,14
de_corona_warn_app,2020-08-06,20
de_corona_warn_app,2020-08-07,17
de_corona_warn_app,2020-08-08,6
de_corona_warn_app,2020-08-09,7
de_corona_warn_app,2020-08-10,3
de_corona_warn_app,2020-08-11,24
de_corona_warn_app,2020-08-12,25
de_corona_warn_app,2020-08-13,13
de_corona_warn_app,2020-08-14,16
de_corona_warn_app,2020-08-15,21
de_corona_warn_app,2020-08-16,9
de_corona_warn_app,2020-08-17,24
de_corona_warn_app,2020-08-18,33
de_corona_warn_app,2020-08-19,7
de_corona_warn_app,2020-08-20,15
de_corona_warn_app,2020-08-21,11
de_corona_warn_app,2020-08-22,4
de_corona_warn_app,2020-08-23,12
de_corona_warn_app,2020-08-24,9
de_corona_warn_app,2020-08-25,3
de_corona_warn_app,2020-08-26,3
de_corona_warn_app,2020-08-27,6
de_corona_warn_app,2020-08-28,5
de_corona_warn_app,2020-08-29,3
de_corona_warn_app,2020-08-30,11
de_corona_warn_app,2020-08-31,10
de_corona_warn_app,2020-09-01,25
de_corona_warn_app,2020-09-02,14
de_corona_warn_app,2020-09-03,16
de_corona_warn_app,2020-09-04,24
de_corona_warn_app,2020-09-05,8
de_corona_warn_app,2020-09-06,12
de_corona_warn_app,2020-09-07,8
de_corona_warn_app,2020-09-08,5
de_corona_warn_app,2020-09-09,3
de_corona_warn_app,2020-09-10,12
de_corona_warn_app,2020-09-11,14
de_corona_warn_app,2020-09-12,7
de_corona_warn_app,2020-09-13,3
de_corona_warn_app,2020-09-14,16
de_corona_warn_app,2020-09-15,17
de_corona_warn_app,2020-09-16,13
de_corona_warn_app,2020-09-17,13
de_corona_warn_app,2020-09-18,7
de_corona_warn_app,2020-09-19,12
de_corona_warn_app,2020-09-20,3
de_corona_warn_app,2020-09-21,3
de_corona_warn_app,2020-09-22,2
de_corona_warn_app,2020-09-23,72
de_corona_warn_app,2020-09-24,34
de_corona_warn_app,2020-09-25,19
de_corona_warn_app,2020-09-26,20
de_corona_warn_app,2020-09-27,7
de_corona_warn_app,2020-09-28,13
de_corona_warn_app,2020-09-29,9
de_corona_warn_app,2020-09-30,26
de_corona_warn_app,2020-10-01,17
de_corona_warn_app,2020-10-02,3
de_corona_warn_app,2020-10-03,7
de_corona_warn_app,2020-10-04,1
de_corona_warn_app,2020-10-05,5
de_corona_warn_app,2020-10-06,3
de_corona_warn_app,2020-10-07,7
de_corona_warn_app,2020-10-08,17
de_corona_warn_app,2020-10-09,18
de_corona_warn_app,2020-10-10,3
de_corona_warn_app,2020-10-11,15
de_corona_warn_app,2020-10-12,10
de_corona_warn_app,2020-10-13,19
de_corona_warn_app,2020-10-14,19
de_corona_warn_app,2020-10-15,16
de_corona_warn_app,2020-10-16,24
de_corona_warn_app,2020-10-17,24
de_corona_warn_app,2020-10-18,33
de_corona_warn_app,2020-10-19,70
de_corona_warn_app,2020-10-20,45
de_corona_warn_app,2020-10-21,20
de_corona_warn_app,2020-10-22,24
de_corona_warn_app,2020-10-23,30
de_corona_warn_app,2020-10-24,18
de_corona_warn_app,2020-10-25,18
de_corona_warn_app,2020-10-26,15
de_corona_warn_app,2020-10-27,26
de_corona_warn_app,2020-10-28,35
de_corona_warn_app,2020-10-29,50
de_corona_warn_app,2020-10-30,40
de_corona_warn_app,2020-10-31,28
de_corona_warn_app,2020-11-01,33
de_corona_warn_app,2020-11-02,34
de_corona_warn_app,2020-11-03,18
de_corona_warn_app,2020-11-04,23
